time,n_oxygens_36,n_hydrogens_36,n_oxygens_35,n_hydrogens_35,n_oxygens_34,n_hydrogens_34,n_oxygens_33,n_hydrogens_33,n_oxygens_32,n_hydrogens_32,n_oxygens_31,n_hydrogens_31,n_oxygens_30,n_hydrogens_30,n_oxygens_29,n_hydrogens_29,n_oxygens_28,n_hydrogens_28,n_oxygens_27,n_hydrogens_27,n_oxygens_26,n_hydrogens_26
640,4,11,5,13,7,9,5,12,8,10,4,13,5,11,9,15,6,14,9,13,2,13
650,4,10,7,12,5,17,7,10,4,7,4,16,8,9,4,11,8,12,5,16,6,12
660,5,13,7,11,5,6,6,15,6,10,6,11,6,11,9,13,7,15,2,5,7,12
670,7,10,5,10,8,11,3,10,5,8,6,13,9,12,3,12,7,13,8,15,4,7
680,6,12,8,11,4,11,4,7,9,17,6,9,3,5,7,14,2,11,9,14,6,10
690,8,13,8,12,4,15,9,12,3,14,10,10,3,11,4,8,7,12,5,13,8,12
700,8,13,8,12,5,9,6,13,2,10,8,14,6,8,6,11,6,12,4,9,7,18
710,3,4,6,16,7,8,5,15,8,7,4,17,9,15,3,11,2,9,12,14,5,13
720,3,8,9,9,7,17,5,11,6,9,6,12,7,13,4,11,6,16,5,12,6,9
730,4,10,7,11,6,12,7,17,6,10,5,12,8,12,4,10,3,9,7,17,8,12
740,5,12,7,16,4,9,5,11,5,15,8,10,5,15,6,13,5,14,10,9,6,15
750,3,10,11,17,2,9,8,11,6,13,4,10,6,13,7,13,4,11,4,8,8,14
760,6,9,6,14,6,12,6,15,5,13,6,13,9,11,3,11,8,15,8,15,4,9
770,9,19,5,6,2,11,6,7,5,17,6,9,7,10,4,7,6,14,6,12,7,15
780,5,8,4,13,8,14,6,13,5,6,6,16,8,14,5,14,9,13,7,17,5,7
790,7,14,4,11,10,17,7,14,4,12,6,10,7,17,6,13,3,9,8,15,7,6
800,5,10,7,14,5,12,5,13,7,8,4,11,8,15,3,7,5,12,5,11,6,8
810,7,8,3,11,11,17,6,14,4,12,6,9,6,11,5,12,5,11,6,12,9,11
820,6,11,6,11,5,12,7,11,3,9,9,12,6,15,5,8,6,13,8,15,5,9
830,5,13,8,14,6,14,4,13,7,11,6,13,4,8,5,9,5,9,10,14,5,14
840,10,22,4,9,5,13,7,13,7,13,6,12,4,12,4,11,4,9,10,18,4,10
850,4,13,9,15,4,11,6,11,10,16,6,11,5,9,6,14,5,13,6,11,7,12
860,8,12,6,13,4,14,8,10,2,6,8,15,6,15,4,11,2,7,10,13,6,12
870,7,13,6,12,5,10,6,15,8,12,7,11,5,14,5,13,7,10,6,12,4,15
880,3,6,8,17,7,11,4,7,6,11,4,10,7,13,4,11,9,12,4,7,4,14
890,4,6,7,12,6,10,4,13,6,14,9,12,3,10,5,11,6,15,5,9,7,13
900,1,4,10,15,5,15,6,13,8,14,8,12,4,15,5,8,4,14,6,10,7,14
910,4,8,5,12,6,14,6,9,5,8,5,10,10,14,4,15,5,11,6,9,7,16
920,2,4,9,17,7,12,3,11,10,12,5,12,5,10,7,15,6,15,8,15,7,9
930,3,7,4,10,6,16,7,7,2,13,8,10,7,12,3,11,7,13,8,12,5,10
940,5,15,8,16,6,11,6,10,8,14,7,15,6,10,8,19,5,6,5,14,8,12
950,7,11,7,10,4,13,4,12,9,13,6,12,5,11,4,8,6,14,7,15,7,13
960,4,7,6,9,6,17,10,11,5,16,6,13,9,16,5,7,4,14,7,14,6,13
970,1,8,12,11,7,15,5,6,3,12,7,13,8,12,3,9,7,12,4,17,5,9
980,5,2,6,14,4,7,8,14,4,11,8,10,5,15,5,11,8,11,4,11,7,12
990,2,2,6,17,5,9,6,13,8,12,5,13,9,15,6,12,4,7,6,10,7,18
1000,5,6,8,21,8,7,3,14,10,10,4,15,6,9,5,12,4,10,6,14,6,8
1010,6,11,5,12,6,10,6,11,6,12,5,10,7,11,6,14,3,9,9,17,5,9
1020,4,11,5,10,6,13,10,14,4,13,8,16,5,6,4,11,3,11,10,14,5,7
1030,5,6,5,15,10,13,5,10,3,12,10,11,3,14,7,9,7,16,4,11,4,10
1040,7,14,7,12,7,17,6,12,5,5,5,16,9,9,5,15,6,11,4,13,10,13
1050,7,11,7,12,2,12,6,14,9,11,5,14,5,5,6,10,6,13,6,17,9,11
1060,8,12,4,11,8,14,4,12,6,10,5,11,9,14,5,11,5,13,11,14,4,18
1070,6,16,9,14,4,11,9,13,4,8,5,12,6,10,7,12,5,12,8,14,6,11
1080,6,13,7,14,5,13,6,8,5,12,6,10,6,13,7,13,7,12,6,10,5,13
1090,6,11,6,11,4,10,7,11,3,10,9,14,7,12,3,15,8,13,3,10,10,10
1100,5,14,8,10,5,11,7,11,8,15,8,13,6,14,7,16,3,8,8,14,6,10
1110,6,13,6,11,5,13,6,14,6,11,6,12,8,10,4,14,6,13,9,13,5,14
1120,6,12,9,13,3,11,4,8,7,10,9,19,4,7,7,15,8,16,5,8,5,11
1130,5,11,6,11,5,14,6,9,4,13,9,15,5,14,7,13,5,12,8,11,7,14
1140,4,5,5,11,5,18,5,6,6,14,6,11,5,14,4,3,7,14,6,13,7,10
1150,9,13,4,12,8,12,7,16,8,8,6,14,4,12,4,9,9,15,5,13,4,10
1160,9,14,7,16,4,10,7,11,6,15,5,9,5,17,9,8,3,11,8,14,8,12
1170,3,8,5,6,7,18,8,10,3,16,8,11,4,16,7,7,2,12,10,15,6,12
1180,4,9,10,16,5,11,3,12,5,10,4,12,7,10,6,14,5,9,4,11,7,18
1190,8,16,6,12,6,10,7,13,8,15,9,15,4,9,5,9,8,17,3,9,6,17
1200,7,16,5,7,5,15,7,14,6,11,6,11,4,11,4,11,11,12,7,12,5,16
1210,5,8,8,13,8,17,5,10,5,10,5,17,8,8,5,16,6,9,5,14,9,13
1220,6,15,6,10,6,15,7,10,7,15,4,11,7,11,5,13,8,10,8,16,7,13
