time,n_oxygens_36,n_hydrogens_36,n_oxygens_35,n_hydrogens_35,n_oxygens_34,n_hydrogens_34,n_oxygens_33,n_hydrogens_33,n_oxygens_32,n_hydrogens_32,n_oxygens_31,n_hydrogens_31,n_oxygens_30,n_hydrogens_30,n_oxygens_29,n_hydrogens_29,n_oxygens_28,n_hydrogens_28,n_oxygens_27,n_hydrogens_27,n_oxygens_26,n_hydrogens_26
640,5,6,5,13,2,9,5,8,7,10,5,14,8,11,4,10,7,13,8,13,4,6
650,6,12,7,9,3,13,7,13,9,14,7,13,6,12,3,9,6,9,7,18,5,10
660,4,6,5,10,5,11,6,7,4,8,8,16,5,11,5,9,7,16,7,14,3,10
670,5,6,7,13,3,6,1,12,10,10,1,15,9,5,5,17,5,9,9,17,6,10
680,5,7,3,11,5,9,7,10,5,12,4,10,10,16,5,13,8,12,3,12,7,11
690,4,7,7,16,7,8,5,6,6,15,7,13,4,12,7,8,3,13,9,13,5,14
700,4,2,4,11,6,11,6,7,7,9,5,15,3,6,8,16,5,17,8,9,5,10
710,2,1,7,13,7,12,4,12,6,6,5,11,8,12,7,13,6,11,7,17,4,10
720,5,5,5,14,7,11,3,11,4,9,6,9,7,16,3,6,8,12,3,8,4,9
730,3,4,3,10,6,9,6,9,6,12,7,11,4,12,8,14,6,17,8,8,5,12
740,6,7,4,11,4,8,6,11,3,10,7,11,8,13,3,15,8,13,4,9,5,7
750,4,7,5,10,8,13,3,11,5,10,10,11,6,12,4,12,7,15,7,13,7,13
760,4,8,6,11,5,6,3,11,7,14,10,14,4,15,6,11,8,11,3,13,7,15
770,3,8,5,7,5,11,7,13,5,7,6,14,5,13,7,11,7,10,6,15,8,15
780,5,10,4,10,6,10,5,7,4,8,6,15,5,9,5,12,10,11,4,12,7,11
790,2,5,5,15,7,8,2,8,5,8,6,13,8,11,4,11,5,11,8,15,4,5
800,1,10,6,6,6,10,5,12,6,10,6,9,8,16,3,11,7,12,8,14,5,9
810,6,5,4,12,5,5,4,15,9,7,2,13,9,8,2,9,9,15,7,15,2,13
820,4,8,5,8,3,12,6,5,5,11,3,5,4,10,9,15,6,17,4,5,5,10
830,3,4,4,9,6,8,5,8,6,12,9,10,6,12,4,15,7,10,10,12,7,18
840,2,5,4,7,5,12,6,11,2,9,7,7,7,16,4,11,8,14,6,12,8,9
850,6,5,4,14,3,5,6,11,4,12,9,14,4,9,7,9,4,11,7,14,7,15
860,1,2,7,14,8,14,3,7,4,8,4,10,10,15,4,10,4,7,5,12,6,17
870,4,6,7,12,4,10,5,9,5,6,5,13,9,13,4,12,7,13,4,10,10,9
880,3,5,3,5,4,9,7,16,5,7,2,12,6,13,9,18,3,5,8,12,7,14
890,2,3,7,14,5,11,6,10,4,10,4,10,6,10,5,13,9,13,5,16,7,9
900,5,9,7,13,3,7,5,9,6,11,7,12,5,14,7,9,5,12,5,14,9,11
910,3,7,7,11,6,11,4,8,5,10,8,12,5,11,4,10,5,10,7,10,4,15
920,5,7,5,11,4,10,5,14,6,12,7,13,6,14,7,11,6,11,6,13,5,10
930,5,8,1,4,7,10,6,16,4,7,5,11,6,15,7,16,5,7,5,15,6,11
940,4,8,4,10,6,9,4,14,8,12,4,9,4,10,11,16,2,6,5,13,9,14
950,4,6,2,10,7,7,4,16,6,8,4,13,8,13,5,13,6,13,6,12,6,10
960,7,9,4,9,5,9,4,10,6,13,10,15,2,13,6,9,8,16,4,10,7,13
970,5,7,3,7,9,13,3,9,7,12,7,9,4,15,6,13,7,10,2,9,9,15
980,3,5,4,8,4,7,7,16,6,7,6,16,8,13,5,5,9,20,4,9,3,10
990,2,1,5,12,4,4,5,12,6,10,7,12,7,12,5,13,7,9,4,12,3,9
1000,4,3,2,10,6,8,6,14,4,7,8,12,4,13,4,6,8,19,3,10,8,8
1010,6,6,1,9,4,6,4,9,8,12,3,8,8,15,7,16,5,8,4,14,7,17
1020,5,7,5,9,3,13,8,9,5,15,6,8,7,13,9,11,5,13,6,13,6,13
1030,3,5,4,10,5,11,5,7,5,12,8,12,4,9,4,9,5,16,8,13,4,9
1040,5,10,3,6,3,8,6,9,4,13,5,10,7,6,4,15,5,11,6,9,5,15
1050,5,5,4,11,3,6,4,12,7,8,4,12,6,11,4,12,9,14,5,8,4,11
1060,2,3,4,8,5,11,3,4,6,10,7,11,6,12,5,11,9,10,4,16,5,11
1070,3,5,4,9,5,11,7,12,2,11,8,7,4,14,7,10,5,17,9,10,2,9
1080,6,9,4,9,2,10,9,12,4,12,5,6,5,11,9,12,7,14,5,9,7,16
1090,4,10,4,9,3,9,8,10,3,6,3,9,6,10,6,11,5,11,7,16,6,12
1100,4,7,5,8,5,8,2,11,7,9,2,9,5,4,8,18,8,14,5,12,7,13
1110,6,10,2,8,4,7,3,9,7,14,6,11,7,14,7,7,3,13,6,10,7,12
1120,4,5,4,7,4,10,5,10,4,4,5,12,6,14,3,7,6,13,10,12,3,10
1130,5,12,4,7,5,11,5,5,6,11,3,9,5,11,5,12,4,11,9,14,6,11
1140,4,7,4,11,1,7,9,10,3,8,5,12,9,16,4,9,3,8,10,13,3,13
1150,5,7,1,8,4,11,8,9,3,8,6,13,7,12,6,11,7,14,5,11,7,10
1160,5,11,5,8,4,8,5,7,5,12,5,9,7,13,3,13,6,7,8,15,6,12
1170,4,5,3,8,3,9,6,9,5,12,6,8,2,10,7,12,3,7,6,13,7,13
1180,0,2,7,11,4,6,1,10,7,10,4,7,7,11,5,10,5,9,6,18,11,11
1190,0,2,8,10,5,11,3,8,6,11,5,8,3,8,7,9,6,18,8,10,3,11
1200,4,7,6,12,4,7,5,5,3,9,7,11,3,12,10,12,5,13,5,9,6,7
1210,1,2,5,16,5,8,8,13,3,9,5,11,6,12,5,13,7,9,7,15,5,12
1220,3,5,6,14,7,12,5,7,5,8,4,10,6,10,4,12,7,13,8,13,6,11
1230,6,8,5,11,5,11,4,7,6,14,5,7,6,11,4,12,6,14,6,14,2,8
1240,1,3,9,15,2,9,6,14,5,11,5,9,6,11,9,12,5,17,6,8,7,17
1250,1,7,8,12,4,9,9,15,4,11,5,9,6,15,6,9,5,11,6,11,5,11
1260,3,5,6,14,7,11,6,12,5,5,10,17,3,13,6,5,4,14,5,14,6,9
1270,3,3,5,14,7,10,4,9,2,6,4,10,10,13,4,15,9,8,5,17,4,7
1280,4,7,4,11,7,10,5,10,6,11,4,14,5,9,5,12,4,4,7,8,4,12
1290,4,8,5,13,6,8,4,12,6,8,5,14,6,8,3,14,8,11,7,11,6,12
1300,5,8,4,7,8,14,1,9,2,8,9,16,2,8,8,13,5,9,3,12,8,14
1310,6,7,6,12,5,10,1,9,7,7,3,14,6,10,5,13,5,12,6,10,7,9
1320,3,6,6,14,6,8,3,9,4,10,4,5,4,9,7,11,2,7,8,19,6,8
1330,4,11,5,7,4,9,7,9,3,8,8,8,3,12,8,12,3,10,7,13,7,11
1340,3,6,5,9,6,9,3,9,7,11,5,12,4,11,8,10,4,13,6,9,7,15
1350,5,9,5,11,4,6,6,11,5,10,5,12,6,8,5,11,8,16,3,8,6,12
1360,7,11,5,13,3,7,7,10,2,7,10,15,2,9,5,10,6,17,6,8,7,13
1370,6,9,6,10,2,7,3,9,9,14,4,10,3,9,4,10,4,10,8,11,6,12
1380,4,9,4,15,6,7,7,15,6,13,2,8,5,13,8,12,6,12,7,15,5,9
1390,4,6,6,13,4,8,4,8,6,14,9,11,1,11,4,5,7,17,4,7,7,12
1400,5,12,7,11,2,5,4,8,4,11,8,14,4,10,4,14,8,7,5,15,5,9
1410,5,10,3,8,8,14,2,10,6,10,6,11,5,11,3,8,6,12,11,14,4,12
1420,4,10,6,11,6,13,4,7,7,12,2,9,4,7,6,11,3,10,5,12,8,12
1430,5,7,4,11,5,7,4,12,9,10,4,9,4,14,6,6,6,15,5,14,7,12
1440,4,2,5,13,3,8,5,7,6,11,5,14,4,5,5,8,6,16,6,10,4,12
1450,5,11,5,10,4,7,5,10,9,19,2,7,5,7,9,14,3,14,8,6,3,11
1460,3,3,3,12,4,7,5,10,6,11,8,12,4,10,5,9,8,16,5,13,2,9
1470,3,6,9,12,3,6,4,7,6,19,6,9,4,10,7,10,6,12,8,16,4,11
1480,8,14,5,11,6,8,2,7,2,7,9,12,6,12,2,11,7,13,7,10,7,13
1490,2,1,7,13,3,7,4,7,4,6,8,15,3,11,6,9,6,13,6,10,5,10
1500,2,3,7,11,3,11,6,10,2,10,6,10,9,12,3,9,8,10,4,20,7,7
1510,6,8,3,12,6,14,6,7,5,13,8,15,5,11,5,16,8,12,5,7,4,13
1520,3,6,9,14,6,9,3,10,6,14,4,11,7,10,5,12,6,10,5,11,8,18
1530,2,5,6,12,3,3,5,15,7,10,6,12,7,11,6,18,5,10,6,13,7,14
1540,4,4,4,11,4,6,4,10,6,10,8,15,4,12,5,12,5,14,6,9,6,12
1550,5,8,7,11,4,10,3,11,8,10,7,13,5,13,6,12,6,16,5,12,4,9
1560,2,6,8,13,3,9,7,14,4,10,6,16,7,10,2,9,8,16,8,12,3,10
1570,4,6,4,8,4,8,6,15,5,10,6,12,8,15,6,7,4,12,12,19,1,5
1580,3,3,6,15,4,9,6,10,7,12,5,12,6,13,3,6,8,12,3,11,6,9
1590,4,4,3,10,8,11,3,8,4,11,9,11,7,10,4,16,9,11,5,13,4,9
1600,2,6,5,6,3,9,8,14,2,9,4,11,7,15,6,9,6,15,7,9,5,14
1610,2,2,7,14,8,14,2,10,9,11,3,11,6,7,7,15,9,16,6,14,2,7
1620,4,6,3,12,6,5,4,11,7,13,6,13,5,10,6,15,6,11,6,12,3,7
1630,5,8,5,13,4,12,6,10,4,9,10,10,1,13,8,7,6,17,6,10,9,17
1640,2,6,9,13,4,14,6,6,5,13,4,12,9,13,2,9,9,15,6,14,6,13
1650,6,8,6,15,8,12,2,8,6,12,8,12,5,13,4,13,5,9,7,16,3,5
1660,3,4,5,10,5,8,3,7,8,12,6,14,4,9,6,10,3,10,6,14,9,12
1670,2,5,7,12,6,8,4,8,2,7,7,13,5,11,5,11,7,14,8,14,5,13
1680,6,10,4,13,6,9,6,10,4,8,8,10,4,11,6,14,5,9,6,12,8,17
1690,3,6,5,10,7,10,5,10,1,6,9,14,5,12,6,10,3,13,10,16,2,12
1700,1,4,6,14,7,6,3,10,7,9,5,10,3,8,6,12,4,12,6,10,6,12
1710,1,5,5,10,5,10,4,9,4,8,5,14,6,9,4,12,7,8,6,17,5,11
1720,2,3,4,10,3,5,3,6,5,9,2,9,7,6,4,11,6,15,6,7,8,15
1730,5,8,4,12,5,5,4,5,3,6,7,10,3,12,9,13,3,13,7,8,4,9
