time,n_oxygens_36,n_hydrogens_36,n_oxygens_35,n_hydrogens_35,n_oxygens_34,n_hydrogens_34,n_oxygens_33,n_hydrogens_33,n_oxygens_32,n_hydrogens_32,n_oxygens_31,n_hydrogens_31,n_oxygens_30,n_hydrogens_30,n_oxygens_29,n_hydrogens_29,n_oxygens_28,n_hydrogens_28,n_oxygens_27,n_hydrogens_27,n_oxygens_26,n_hydrogens_26
2640,4,9,5,7,8,16,8,14,5,9,6,10,2,10,5,11,7,11,5,12,4,12
2650,5,5,5,17,7,11,6,12,3,8,8,16,6,12,7,10,5,13,7,14,6,13
2660,2,3,7,14,6,9,8,15,3,8,7,17,7,12,7,10,5,14,5,12,12,18
2670,3,8,7,11,3,12,5,10,6,11,8,14,6,14,6,14,7,10,3,11,7,10
2680,7,12,7,14,4,7,6,11,7,14,4,9,9,19,6,9,5,13,7,10,4,7
2690,4,8,3,8,6,10,8,17,7,9,6,13,4,9,8,15,10,15,4,12,5,10
2700,5,10,7,13,3,11,10,12,2,10,8,15,8,13,5,14,7,11,5,12,6,10
2710,4,6,7,14,5,8,6,14,6,13,5,13,6,12,8,11,4,14,8,10,7,15
2720,5,9,7,16,6,11,4,13,7,11,7,15,4,11,6,13,7,12,4,13,6,12
2730,4,11,7,14,7,9,1,8,8,11,5,15,4,8,7,13,7,13,7,8,5,12
2740,4,9,8,9,3,14,4,8,7,13,9,13,7,14,5,10,4,8,7,17,5,10
2750,4,9,7,12,3,7,6,12,6,13,6,12,6,12,5,13,8,14,6,10,4,12
2760,6,15,6,10,4,10,6,12,3,6,5,15,8,13,5,11,5,6,3,13,11,14
2770,6,6,3,13,8,11,3,11,5,13,7,11,5,10,5,12,7,10,7,11,3,12
2780,5,10,5,12,6,13,6,8,7,15,6,11,7,16,6,9,5,13,8,17,5,7
2790,4,9,7,10,7,12,4,10,4,14,9,12,8,15,2,9,7,12,6,11,5,14
2800,7,13,6,11,4,7,6,13,6,9,6,16,7,12,5,9,7,11,7,15,5,12
2810,5,9,8,12,4,9,6,10,5,11,9,10,3,13,8,11,4,13,8,13,5,14
2820,2,6,10,15,3,11,5,6,7,10,6,18,6,10,4,13,7,13,5,16,10,11
2830,5,7,5,9,7,15,1,6,6,12,7,10,7,12,3,12,5,9,7,13,4,10
2840,6,9,6,13,4,11,5,7,5,17,9,14,5,8,6,14,4,11,7,8,6,12
2850,7,13,6,9,3,12,10,9,6,13,6,15,5,14,7,9,2,10,10,15,2,8
2860,6,12,6,10,5,13,9,10,5,15,8,13,8,15,3,11,6,7,8,16,4,13
2870,5,10,4,10,6,9,5,14,7,11,4,11,5,10,4,18,10,9,5,19,5,9
2880,1,4,9,14,3,9,3,10,8,15,6,10,4,11,6,10,5,14,9,15,4,12
2890,5,11,8,12,3,10,5,12,11,17,5,13,4,15,6,9,4,11,9,18,4,6
2900,5,13,9,14,3,10,7,12,7,18,7,9,4,11,6,11,5,11,5,7,7,13
2910,6,9,8,14,4,8,4,7,5,15,10,14,2,10,5,12,4,8,11,16,5,8
2920,5,11,6,11,4,10,6,10,5,11,4,9,5,12,7,13,6,13,5,11,8,10
2930,3,10,5,11,7,10,4,14,9,9,3,13,6,10,6,14,7,13,8,12,6,12
2940,4,5,3,12,10,17,3,10,5,11,8,11,6,14,6,10,4,15,8,9,5,12
2950,5,13,5,4,4,14,7,12,6,13,9,11,7,15,4,14,9,9,4,17,6,8
2960,4,15,8,10,4,12,6,12,7,13,6,15,5,7,3,9,9,13,6,18,7,10
2970,6,6,5,10,7,14,5,12,7,13,7,10,3,10,7,13,7,16,5,10,4,14
2980,5,5,3,12,10,17,2,4,5,14,10,10,6,13,2,9,8,11,8,14,5,15
2990,5,7,4,11,10,14,3,11,3,8,9,16,7,11,7,13,4,10,9,11,7,16
3000,5,6,5,11,7,9,5,14,2,3,4,12,7,15,8,11,6,14,6,12,4,9
3010,4,4,7,14,5,11,4,12,8,9,3,14,8,12,6,12,7,9,4,11,7,12
3020,6,11,6,13,5,9,4,8,7,13,4,10,5,9,9,10,7,17,4,11,8,18
3030,5,12,7,5,3,13,6,9,7,11,9,18,3,11,6,8,8,18,6,11,5,9
3040,4,5,7,12,6,12,4,8,4,8,6,14,5,7,6,14,5,11,6,14,4,10
3050,6,9,4,8,5,10,4,12,5,11,6,8,6,10,4,14,9,16,7,12,3,6
3060,6,10,2,8,7,14,4,10,6,13,8,15,5,6,4,10,8,14,3,8,6,11
3070,3,7,8,14,7,14,5,7,5,16,7,12,6,11,6,10,4,11,7,13,4,8
3080,3,9,10,12,4,13,6,11,5,13,8,9,5,15,4,9,8,11,7,12,4,15
3090,4,9,8,13,2,9,8,11,5,13,7,13,6,17,8,12,3,10,7,10,5,15
3100,8,11,3,8,7,10,3,7,6,13,7,15,3,6,10,18,7,15,6,11,5,12
3110,6,11,7,17,5,8,6,10,7,14,5,15,5,10,7,16,8,10,4,12,6,12
3120,5,7,6,16,7,10,6,14,7,9,2,11,10,15,5,14,8,12,5,11,6,10
3130,5,8,3,14,9,12,6,16,7,6,5,17,9,15,5,8,5,12,9,13,6,16
3140,4,6,2,11,9,13,3,10,8,14,8,9,4,13,8,12,4,16,8,13,6,10
3150,4,8,3,7,9,18,5,8,4,11,8,13,4,8,6,10,6,18,9,12,5,8
3160,2,9,5,11,8,19,2,7,4,8,8,9,8,19,4,8,5,15,6,14,6,11
3170,4,9,6,10,4,11,6,10,5,13,4,8,11,15,4,10,7,15,5,8,6,11
3180,4,4,10,16,5,14,3,6,7,12,7,16,8,10,1,9,6,11,7,12,6,11
3190,4,8,6,9,7,17,5,8,5,8,7,17,5,8,4,7,8,15,2,10,8,13
3200,6,10,8,16,4,12,5,10,7,15,6,7,2,11,10,15,7,15,6,11,4,7
3210,4,11,7,6,6,18,5,9,6,14,7,14,6,11,8,18,5,9,7,15,7,16
3220,5,11,5,12,7,11,2,6,6,13,8,10,4,18,9,9,5,17,7,13,5,10
3230,6,14,7,9,5,11,5,13,9,20,6,3,4,15,8,16,8,11,5,11,5,13
3240,6,9,5,13,10,16,5,11,6,13,8,14,5,9,5,18,8,9,3,9,6,11
3250,2,6,8,16,7,8,4,12,9,15,3,11,7,13,6,11,2,10,11,12,4,13
3260,5,13,7,15,6,9,2,11,10,13,4,11,5,9,8,15,4,10,8,14,3,6
3270,7,11,7,13,3,10,9,15,4,8,7,13,4,10,9,14,5,9,4,12,6,7
3280,4,12,5,12,6,9,7,11,4,15,7,12,5,12,7,13,4,11,6,12,7,10
3290,6,10,4,10,5,11,7,12,6,12,5,10,7,20,9,10,3,13,8,15,7,13
3300,3,4,8,16,6,12,4,7,3,11,7,14,7,12,8,11,5,13,4,7,5,15
3310,4,5,6,16,8,15,6,9,7,13,8,13,5,16,5,9,6,9,6,11,4,11
3320,4,5,5,12,6,13,7,15,3,11,8,11,6,12,8,18,7,8,5,15,4,8
3330,4,9,7,13,5,10,4,12,9,13,3,13,10,12,7,14,7,12,5,11,8,14
3340,4,10,6,10,10,16,6,11,3,9,7,12,8,13,5,12,5,14,6,10,5,15
3350,3,8,6,12,6,11,7,13,6,9,3,12,9,11,4,11,7,14,3,13,8,12
3360,5,9,6,13,5,10,4,9,6,12,5,12,4,7,7,19,9,10,3,13,8,12
3370,6,10,7,13,5,9,9,18,4,9,5,9,7,10,7,17,5,10,6,13,4,11
3380,1,1,6,13,8,14,4,14,6,9,7,15,6,12,6,9,3,12,8,13,5,9
3390,3,6,9,17,3,7,8,13,7,13,7,10,5,16,3,9,12,16,3,8,5,9
3400,5,9,7,11,4,12,6,6,4,13,5,12,8,14,3,6,9,18,5,7,4,14
3410,3,5,5,13,8,12,3,11,6,8,5,19,7,13,5,11,8,13,7,12,8,14
3420,5,7,6,9,5,15,5,13,7,11,6,13,6,12,8,12,4,11,5,12,8,10
3430,3,9,7,11,6,12,6,17,7,6,5,13,8,16,4,8,5,13,7,14,6,10
3440,4,10,5,11,7,12,3,7,5,10,9,14,4,9,7,16,6,12,5,10,6,14
3450,3,5,7,13,8,10,3,12,7,10,7,12,2,10,10,14,7,14,4,12,7,8
3460,3,4,7,14,7,13,5,9,7,14,6,13,9,17,2,10,11,14,3,12,8,11
3470,4,6,6,12,5,12,9,15,3,7,5,13,6,13,7,11,6,10,7,17,5,11
3480,2,8,3,8,10,17,4,7,8,16,7,14,3,9,5,8,10,14,2,9,10,15
3490,3,8,8,12,8,13,2,11,6,7,11,19,7,10,3,13,9,16,5,11,3,11
3500,7,14,3,11,10,14,5,12,3,8,9,12,5,13,4,11,7,12,7,13,4,6
3510,3,7,5,12,5,9,6,7,7,12,3,11,7,18,8,11,5,14,6,15,6,13
3520,6,5,4,17,8,10,4,13,5,7,9,15,7,12,4,14,9,14,4,11,4,12
3530,1,6,10,14,4,9,7,10,6,14,5,10,9,15,6,12,6,14,6,10,5,12
3540,4,8,7,15,5,10,8,14,3,6,6,14,8,15,7,12,5,11,5,10,7,7
3550,6,10,5,13,7,13,7,15,4,7,7,10,8,17,7,12,5,14,4,12,7,12
3560,3,9,8,14,5,11,5,16,5,10,10,10,2,11,6,10,7,15,6,10,6,9
3570,4,9,7,10,5,9,7,15,7,11,2,9,8,13,6,11,5,10,3,7,11,15
3580,3,7,8,14,5,11,7,13,6,12,9,16,4,7,9,11,3,14,6,10,5,11
3590,4,4,4,16,7,13,8,14,5,12,9,13,6,15,5,14,7,10,9,12,1,15
3600,6,11,5,10,5,11,5,10,5,12,6,8,5,10,7,16,5,12,7,13,5,10
3610,5,7,6,13,5,9,6,13,7,12,5,15,7,10,2,15,8,7,6,13,7,14
3620,5,7,5,11,7,10,5,13,5,14,8,15,8,10,7,11,6,14,8,16,6,11
