,5%,50%,95%
0,0.08960270498732037,0.10397295012679628,0.11834319526627218
1,0.03550295857988166,0.04395604395604396,0.054945054945054944
2,0.04818258664412511,0.05917159763313609,0.07185122569737955
3,0.058326289095519866,0.07100591715976332,0.08284023668639054
4,0.06931530008453085,0.08284023668639054,0.09636517328825021
5,0.09129332206255283,0.10481825866441251,0.12003381234150465
6,0.11665257819103973,0.13186813186813187,0.14792899408284024
7,0.11834319526627218,0.13440405748098055,0.15046491969568893
8,0.08960270498732037,0.10481825866441251,0.12003381234150465
9,0.057480980557903634,0.07016060862214708,0.08199492814877431
10,0.03127641589180051,0.04057480980557904,0.0507185122569738
11,0.0169061707523246,0.023668639053254437,0.03127641589180051
12,0.0084530853761623,0.014370245139475908,0.02028740490278952
13,0.00422654268808115,0.0084530853761623,0.01267962806424345
14,0.0008453085376162299,0.00253592561284869,0.005917159763313609
15,0.0,0.0008453085376162299,0.00253592561284869
16,0.0,0.0,0.0016906170752324597
17,0.0,0.0,0.0008453085376162299
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25+,0.0,0.0,0.0
