,5%,50%,95%
0,0.3663157894736842,0.40210526315789474,0.44
1,0.035789473684210524,0.05052631578947368,0.06736842105263158
2,0.1431578947368421,0.17473684210526316,0.20421052631578948
3,0.05894736842105263,0.07578947368421053,0.09473684210526316
4,0.08421052631578947,0.10736842105263159,0.13263157894736843
5,0.05052631578947368,0.06736842105263158,0.0863157894736842
6,0.03368421052631579,0.04631578947368421,0.06315789473684211
7,0.023157894736842106,0.03368421052631579,0.04842105263157895
8,0.016842105263157894,0.02526315789473684,0.037894736842105266
9,0.004210526315789474,0.010526315789473684,0.018947368421052633
10,0.0,0.002105263157894737,0.00631578947368421
11,0.0,0.0,0.004210526315789474
12,0.0,0.0,0.002105263157894737
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25+,0.0,0.0,0.0
