,5%,50%,95%
0,0.8090277777777778,0.8472222222222222,0.8819444444444444
1,0.027777777777777776,0.04861111111111111,0.06944444444444445
2,0.013888888888888888,0.03125,0.04513888888888889
3,0.006944444444444444,0.020833333333333332,0.03819444444444445
4,0.006944444444444444,0.020833333333333332,0.034722222222222224
5,0.006944444444444444,0.017361111111111112,0.034722222222222224
6,0.0,0.010416666666666666,0.020833333333333332
7,0.0,0.0,0.006944444444444444
8,0.0,0.0,0.003472222222222222
9,0.0,0.0,0.003472222222222222
10,0.0,0.0,0.003472222222222222
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25+,0.0,0.0,0.0
