Rg,Ree
1.01391,2.204
0.984049,2.197
0.97064,2.045
0.871181,2.008
0.883112,2.095
0.949291,2.018
0.877415,2.104
0.882473,2.194
0.889964,2.207
1.04915,2.639
1.10481,2.484
1.11738,2.658
0.876154,2.197
0.869738,2.273
0.990804,2.121
0.985507,2.058
0.980237,2.057
0.975952,2.001
0.965457,1.912
0.950122,1.939
0.960202,1.92
0.804539,1.242
0.793921,1.297
0.966109,2.147
0.805759,1.324
0.82138,1.23
0.812244,1.213
0.828512,1.34
0.814819,1.259
0.925654,1.877
0.807258,1.221
0.821474,1.221
0.907251,1.852
0.915651,1.813
0.806102,1.265
0.881721,1.607
0.863459,1.558
0.771068,1.213
0.933977,1.774
0.905951,1.748
1.08063,3.508
1.06775,3.369
1.07817,3.444
1.06891,3.335
1.0164,3.199
1.05511,3.22
1.04906,3.222
0.997199,2.553
1.02225,2.557
1.03184,2.63
0.834589,1.438
1.03408,3.164
1.02922,3.035
1.0399,2.966
1.04854,2.929
1.04085,2.903
1.06504,2.972
1.06523,3.073
1.02365,2.751
0.88557,1.562
0.865856,1.421
0.883014,1.469
1.158,3.442
0.867338,1.714
0.971177,2.54
0.96648,2.538
0.982454,2.703
0.976652,2.673
1.08185,2.984
1.08733,2.945
1.05637,2.837
0.819527,1.381
0.838312,1.505
0.840472,1.527
1.10084,3.067
1.11144,3.103
1.12426,3.213
1.13595,3.367
0.72561,0.783
0.740088,0.755
0.733752,0.737
0.725613,0.715
0.745504,0.719
1.10725,2.734
1.12848,2.86
1.11089,2.783
1.10703,2.781
0.734796,0.66
0.734872,0.686
1.15623,3.004
0.707223,0.643
0.722158,0.758
0.906219,1.662
0.922655,1.591
0.943693,1.589
0.724343,0.699
0.71993,0.693
0.72279,0.712
0.726489,0.791
0.889603,1.389
0.907811,1.527
0.718824,0.719
0.723088,0.743
0.732632,0.734
0.906842,1.573
0.880928,1.466
0.892677,1.623
0.895977,1.487
0.858461,1.636
0.874283,1.828
1.36409,4.284
1.42616,4.282
1.40082,4.208
0.912733,1.868
0.909707,1.742
0.996329,3.098
0.926333,1.668
0.971072,2.907
0.964666,2.957
0.942336,2.855
0.812034,1.056
0.810193,1.056
1.03912,2.438
1.28543,2.825
1.02276,2.561
1.29777,2.726
0.840794,1.143
1.37994,3.223
1.34362,3.003
1.36025,3.15
1.34367,3.112
0.805091,1.099
1.32051,2.964
1.0401,2.335
1.03053,2.245
1.02212,2.368
1.24984,2.842
0.799574,1.088
1.20789,2.603
1.18494,2.395
1.18303,2.334
0.808901,0.96
0.79255,0.954
1.13874,3.301
1.1969,2.427
1.24231,2.606
1.23797,2.626
1.21248,2.71
0.83204,1.178
0.829897,1.089
0.843997,1.213
0.818062,1.169
0.825705,1.188
0.813164,1.16
0.829156,1.224
0.822096,1.259
0.834665,1.303
0.945263,1.089
0.958619,1.219
0.825462,1.317
0.838204,1.511
0.840039,1.478
0.826851,1.412
0.830121,1.431
0.79479,1.548
0.844072,1.408
0.866285,1.435
0.873609,1.471
0.868999,1.532
0.859699,1.606
0.858616,1.625
0.853737,1.541
0.766702,1.519
0.922678,2.827
0.83512,1.462
0.824157,1.421
0.825439,1.464
0.83359,1.471
0.850519,1.458
0.941325,2.783
0.947226,2.824
0.774621,1.465
0.759821,1.582
0.781344,1.539
0.93421,2.883
0.934352,2.894
0.922542,2.846
0.926771,2.9
0.994145,2.359
1.20718,3.623
1.23615,3.715
1.26043,3.818
0.940244,1.239
0.948712,1.214
0.94264,1.277
1.01498,2.695
1.00336,2.741
0.967328,1.375
0.999936,2.684
0.956175,1.461
0.732248,1.517
0.739847,1.578
0.752684,1.61
0.996185,2.158
1.02141,2.223
1.00806,2.11
0.998576,2.143
1.02924,2.185
1.06413,2.225
0.936859,1.015
0.94246,0.975
0.93807,1.038
0.921729,1.021
0.931852,1.058
0.948107,1.015
0.858859,1.551
0.847959,1.401
0.824147,1.261
0.817157,1.297
1.37683,4.437
1.0424,2.95
1.03439,2.984
1.35922,4.286
1.31748,4.164
1.35449,3.912
1.32853,3.936
1.29086,3.97
1.28446,4.043
1.27592,4.012
0.899769,1.812
0.935357,1.935
0.947954,1.813
0.999122,3.083
0.976861,3.019
0.96434,2.981
0.972269,3.001
1.3997,3.724
0.936848,2.9
0.916658,2.02
1.09629,2.916
1.0907,2.968
1.08309,2.936
0.970941,3.003
0.854099,1.994
0.855734,2.008
1.36207,3.721
1.335,3.808
1.32543,3.876
1.09453,2.718
1.33803,3.975
0.950869,1.469
1.36605,3.868
1.32145,4.143
1.3184,4.129
0.949147,1.337
0.895882,2.274
0.920638,2.331
0.881123,1.921
0.87671,2.113
0.881711,2.046
1.00701,2.791
1.01094,2.811
1.0017,2.749
1.03436,2.769
0.942544,1.288
0.944171,1.43
0.936845,2.126
0.954478,2.142
0.925083,2.03
0.93406,2.054
0.993445,2.726
0.975291,2.981
0.969066,2.966
1.00325,2.716
0.997097,2.698
0.952138,1.403
0.955563,1.433
0.941398,1.215
1.01043,2.667
1.00497,2.49
1.00643,2.571
1.02171,2.378
1.01484,2.395
0.995548,2.362
0.993003,2.407
1.00693,2.419
1.3523,3.773
1.36956,3.877
1.36808,3.864
1.33833,4.007
1.37402,3.872
0.93535,2.644
1.33169,3.929
1.32182,3.955
1.30212,3.794
1.26951,3.666
1.32804,3.893
1.3119,3.829
0.914447,1.313
1.23027,3.523
1.22771,3.402
1.21811,3.331
0.928994,1.526
0.939139,1.545
0.949896,1.586
1.30718,3.633
0.948248,1.724
0.959699,1.766
1.02405,2.471
0.994827,2.439
0.726347,1.323
1.01128,2.268
0.981322,2.93
1.02509,3.05
1.00334,3.005
0.70276,1.301
0.714332,1.241
0.718453,1.263
0.726338,1.362
0.73247,1.362
0.737603,1.389
0.727753,1.212
1.0073,2.967
1.01408,3.019
1.03452,3.027
1.01274,3.017
0.997389,2.97
