Rg,Ree
0.849118,0.749
0.852379,0.723
0.879118,0.708
0.869227,0.773
0.865117,0.735
0.861471,0.775
0.941049,3.112
0.839768,1.815
0.825764,1.792
0.909469,3.026
0.824476,1.825
0.814123,1.831
0.827121,1.705
0.936732,3.074
0.940124,2.634
0.953679,2.438
1.39663,3.653
1.37098,3.764
1.41094,3.677
1.39546,3.726
1.38991,3.697
1.44579,3.58
1.4329,3.721
1.38506,3.651
1.37713,3.657
1.36804,3.772
1.08565,3.353
1.08925,3.354
1.12788,3.555
1.14487,3.6
1.10022,3.397
1.36353,3.339
1.09389,3.384
1.41768,3.451
1.48375,3.574
1.48866,3.646
1.50509,3.464
1.4947,3.518
1.56006,3.546
1.56851,3.479
1.51069,3.579
1.53901,3.528
1.55566,3.704
1.06589,2.777
1.03127,2.376
1.00961,2.375
0.981606,2.285
1.37299,3.05
0.885637,0.529
0.901409,0.576
0.893525,0.548
0.907378,0.546
0.901629,2.701
0.917333,2.691
0.888384,0.582
0.878982,0.654
0.9266,2.684
0.947013,2.889
1.31382,3.532
0.879713,0.547
0.877707,0.509
0.906374,0.53
0.884098,0.531
0.906999,0.52
0.892359,0.538
0.907547,0.517
1.15941,3.074
1.18073,3.119
0.884393,0.529
1.1716,3.225
0.897566,0.515
1.16191,2.939
1.21402,3.145
1.20197,3.107
1.28934,3.166
1.12055,3.25
1.08828,3.059
1.18426,3.195
1.16303,3.865
1.18655,3.692
1.15508,3.655
1.15892,3.542
1.11162,3.573
1.19386,3.409
1.19042,3.386
1.17357,3.515
1.19449,2.681
1.18345,2.728
1.06615,2.971
1.09774,2.906
1.17819,3.523
1.0692,2.893
1.27361,3.462
0.835349,2.023
1.2651,3.524
0.810869,2.11
0.833123,2.187
0.827205,2.115
0.840403,2.159
1.09606,2.681
1.10543,2.79
1.05873,2.671
1.06324,2.773
1.11664,2.803
1.16486,3.032
1.19372,3.234
1.14915,3.236
1.16065,3.146
1.17003,3.348
1.17107,3.442
1.16915,3.461
1.2559,3.393
1.21002,3.54
1.18421,3.443
1.16329,3.321
1.15373,3.607
1.13654,3.313
1.13944,3.329
1.12406,3.238
1.14066,3.195
1.07474,3.165
1.10834,3.233
1.00876,2.875
1.04604,2.999
1.05189,2.926
1.11134,3.015
1.21596,3.489
1.1865,3.235
1.16036,3.165
1.13665,2.994
1.17055,3.335
1.18735,3.32
1.21049,3.509
1.18964,3.688
1.13182,3.397
1.16246,3.438
1.15776,3.366
1.16962,3.422
1.15293,3.363
1.18984,3.459
1.16195,3.252
1.0596,3.566
1.05707,3.605
1.03175,3.57
1.03896,3.62
1.04294,3.672
1.03602,3.663
1.03784,3.592
1.05535,3.639
1.04199,3.669
1.28124,3.527
1.34386,3.434
1.42016,3.022
1.34145,3.179
1.22354,3.49
1.21853,3.455
0.846133,2.715
0.829432,2.696
0.839392,2.656
0.8457,2.536
0.828003,2.468
1.35397,3.255
0.816855,2.348
0.8357,2.325
1.38889,2.924
1.41076,2.984
0.878876,1.322
0.891937,1.49
1.41772,2.997
1.36775,3.311
0.861385,1.427
0.879587,1.413
1.34429,3.481
1.35899,3.56
0.867469,2.428
1.31797,3.426
1.33241,3.445
1.19385,3.686
1.23549,3.545
1.31814,3.637
1.23388,3.84
1.25778,3.918
1.23492,3.944
1.25091,4.048
1.38897,3.552
0.918915,1.444
0.894946,1.297
0.891113,1.315
0.862579,1.115
0.86995,1.084
0.87007,1.153
0.998014,3.199
0.991168,3.034
1.47427,3.358
1.46305,3.19
0.855951,1.531
0.863,1.391
0.869027,1.444
0.86424,1.504
1.49826,3.099
1.1579,3.682
1.14747,3.639
0.870757,1.516
1.52805,3.518
0.876004,1.268
0.89019,1.301
0.868409,1.362
0.877062,1.428
0.874135,1.392
0.850708,1.439
0.893052,1.777
0.868922,1.816
0.882777,1.438
0.891761,1.39
1.0086,3.419
0.996408,3.289
0.82166,2.407
0.808907,2.523
0.87753,1.492
0.804582,2.507
0.812917,2.543
0.828851,2.701
0.825715,2.765
0.823882,2.691
1.00556,2.843
0.886399,1.592
0.873827,1.422
1.02901,2.708
1.0303,2.607
1.06348,2.76
1.05128,2.681
1.0279,2.643
1.05541,2.646
1.06968,3.152
1.07158,3.211
1.12499,3.362
1.06745,3.21
1.01082,2.407
1.00224,2.474
1.16252,3.479
1.13163,3.532
1.0023,2.391
1.03748,2.26
1.07775,2.393
1.12234,3.472
1.11864,3.533
1.06112,2.082
1.101,3.452
0.997474,1.88
0.968036,1.931
1.35116,3.555
0.992818,1.97
0.998704,1.93
0.970773,2.01
0.97209,1.77
0.977233,1.653
0.995007,1.808
1.02518,2.822
0.974381,1.776
0.989842,1.881
1.03881,2.694
0.964883,1.764
0.973596,1.772
0.900979,2.153
0.993626,1.977
0.98296,1.878
0.974251,1.756
0.955217,1.782
0.95355,1.712
0.940456,1.693
1.42838,3.306
1.43806,3.277
1.46349,3.367
1.48257,3.559
1.09639,3.053
1.05305,2.864
1.01383,2.665
1.06155,3.064
1.05626,3.192
1.47418,3.758
1.46186,3.949
1.46024,3.995
1.43538,3.97
1.42228,4.01
1.45381,3.886
0.729,1.977
1.43052,4.046
1.46291,3.752
1.37281,3.536
1.40026,3.405
1.44784,3.653
1.42358,3.644
1.38575,3.593
1.42999,3.378
1.43223,3.324
1.41332,3.302
1.46622,3.038
1.42563,3.006
1.0691,3.452
1.07542,3.485
1.07689,3.374
1.4173,3.221
1.37302,3.477
1.20566,3.76
1.17307,3.576
1.12984,3.461
1.13389,3.492
1.10525,3.387
1.14577,3.521
1.15747,3.559
0.717039,1.782
0.705081,1.683
1.11929,3.416
1.11418,3.289
1.46507,3.281
1.15738,3.398
1.04509,3.293
1.07938,2.328
1.06976,2.326
1.39075,3.117
1.02895,2.077
1.33793,3.533
1.32678,3.641
1.26979,3.546
1.23233,3.617
1.10779,3.481
1.11284,3.506
1.0154,2.211
0.980259,2.103
1.20086,3.492
1.24753,3.754
1.22323,3.518
1.21778,3.504
1.24364,3.474
1.24035,3.533
0.943238,2.062
1.23289,3.46
1.26094,3.521
1.27922,3.622
1.25976,3.633
1.2545,3.225
1.24856,3.117
0.838556,2.051
1.23229,3.371
1.20563,3.336
0.98678,2.135
1.01558,2.237
1.02871,2.314
1.01975,2.298
0.979172,2.169
0.992853,2.081
0.986903,2.141
1.00985,2.127
1.00148,2.068
0.964891,1.931
1.03334,2.174
1.00099,2.367
1.00325,2.477
1.00858,2.275
0.997925,2.267
1.18471,3.389
1.22154,3.519
1.26577,3.409
1.20357,3.526
1.20764,3.625
1.20857,3.561
1.39219,3.337
1.33475,3.375
1.35162,3.316
1.36069,3.494
1.31772,3.484
1.266,3.45
1.2343,3.151
1.20542,3.701
1.23123,3.515
0.915886,2.031
0.922121,2.16
1.17018,3.608
1.23972,3.459
1.28391,3.068
1.19377,3.657
1.22629,3.617
1.21851,3.595
1.24515,3.641
1.25285,3.632
0.972086,2.225
0.974941,2.28
1.02438,2.482
0.951594,2.181
0.985368,2.218
0.9447,2.147
0.976668,2.032
0.98118,2.071
0.999289,2.156
0.977224,2.178
0.978166,2.146
0.972118,2.528
1.01348,2.626
1.31295,3.68
1.01343,2.165
1.02023,2.191
1.31381,3.889
1.03259,3.188
0.823569,2.268
0.82953,2.424
0.838951,2.312
1.00549,2.996
0.832694,2.321
0.844975,2.38
0.828878,2.271
1.00609,2.12
1.02102,2.181
1.02384,2.167
0.821311,2.345
0.820613,2.364
0.817867,2.387
0.827809,2.35
0.81313,2.322
0.827676,2.37
0.8304,2.259
0.827274,2.394
0.838804,2.409
0.843815,2.368
0.860358,2.36
1.32826,3.799
0.855473,2.168
1.36291,4.007
1.36131,4.057
1.40758,3.822
1.41452,3.741
0.85223,2.422
0.872483,2.559
0.869323,2.499
0.869203,2.501
0.854572,2.476
0.880618,2.547
0.875709,2.501
0.882414,2.544
0.891674,2.466
0.794692,2.347
0.78026,2.17
0.945002,1.414
0.943077,1.436
0.923264,1.427
0.865183,2.35
0.870757,2.591
0.946277,1.511
1.57533,3.468
1.59664,3.458
1.58657,3.474
1.26104,3.32
1.31447,3.606
0.935592,1.658
0.922518,1.566
0.903873,1.699
0.89827,1.689
1.59337,3.523
1.57224,3.451
1.52517,3.395
0.938094,1.889
0.954675,2.013
0.959968,1.919
0.964523,2.005
0.85205,1.803
0.851407,1.876
0.755221,1.755
0.754668,1.715
0.751823,1.777
0.768462,1.769
0.793141,2.008
0.795578,2.095
1.47972,3.707
1.54681,3.381
0.818525,1.875
0.812038,1.831
0.822595,1.858
0.841034,2.052
1.4981,3.634
0.840583,1.989
0.838077,1.984
1.26186,3.282
0.851471,2.036
0.830526,1.926
0.836877,1.961
0.841931,2.035
0.829117,1.915
1.40681,3.637
1.41577,3.753
1.38651,3.627
1.36669,3.6
1.36574,3.628
1.40975,3.54
0.976299,2.02
1.4013,3.497
0.996096,2.067
1.45807,3.597
1.23391,3.512
1.26271,3.578
1.16381,3.181
1.22659,3.397
1.27443,3.325
1.30609,3.501
1.27036,3.313
1.4729,3.673
1.46363,3.572
1.29253,3.313
1.25866,3.186
1.2727,3.395
1.29541,3.379
1.42954,3.636
1.44493,3.644
1.42682,3.607
1.42207,3.718
1.43137,3.828
1.44237,3.886
1.26305,3.068
1.07486,3.424
1.28995,3.41
1.41706,3.582
1.39357,3.453
1.35904,3.383
0.840037,1.884
0.823384,1.729
0.83669,1.723
0.840016,1.794
0.828461,1.555
0.840163,1.734
0.833794,1.645
0.823705,2.067
0.845875,2.182
0.866954,2.171
1.29708,3.396
1.29822,3.4
1.32141,3.423
1.33821,3.452
1.35118,3.559
1.34507,3.486
1.2514,3.644
1.33234,3.559
1.36525,3.736
0.833862,1.545
0.855686,1.44
0.865771,1.573
1.40517,3.898
1.39711,3.761
1.34374,3.599
1.41861,3.709
1.43077,3.884
0.813474,1.512
0.838812,1.473
1.21631,3.022
1.2218,3.026
1.24705,3.159
1.05885,1.528
1.25888,3.299
1.4479,4.427
1.42966,4.368
0.843068,1.77
0.836671,1.72
0.841974,1.672
0.821774,1.617
0.795171,1.345
0.796032,1.297
0.835546,1.754
0.847558,1.828
0.838099,1.905
1.55283,4.514
0.843515,1.864
0.82538,1.711
0.841431,1.602
1.54026,4.563
0.811227,1.334
1.52667,4.656
1.50124,4.447
0.807577,1.335
0.811709,1.371
0.802718,1.343
0.797483,1.284
1.24037,3.372
1.22708,3.311
1.23926,3.229
1.21843,3.243
1.52602,4.249
1.49404,4.389
1.47986,4.34
1.50686,4.555
1.46729,4.455
1.23732,3.378
1.07331,3.094
1.04799,2.761
1.02527,2.619
0.776485,1.302
0.954369,2.415
0.973258,2.415
0.841573,1.814
0.841412,1.905
1.14192,3.267
1.19448,3.476
0.950469,2.16
1.27358,3.687
1.23553,3.539
1.20642,3.414
1.23899,3.457
1.24686,3.543
1.20835,3.349
1.22013,3.459
1.19936,3.273
1.20213,3.355
1.17524,3.382
0.810006,1.445
0.821822,1.586
0.806612,1.081
0.813205,1.189
0.810923,1.259
1.39447,4.258
1.37599,4.202
1.40774,4.191
0.807891,1.254
0.809506,1.278
0.765434,1.21
0.836014,1.524
0.852867,1.679
0.826553,1.617
0.856405,1.472
0.809629,1.308
0.837845,1.326
0.831166,1.332
0.821708,1.373
0.80799,1.14
0.760816,1.094
0.776784,1.157
1.39485,4.034
0.792939,0.999
0.795519,0.945
0.777851,1.031
0.791301,1.108
0.786575,0.97
0.785983,1.01
0.791656,0.914
0.791018,1.062
0.786846,1.001
0.791291,1.049
0.790714,1.069
0.797235,1.142
1.39431,3.883
1.38924,3.948
1.38503,4.088
1.25236,3.2
1.27824,3.279
1.35996,3.952
1.37396,4.031
1.24375,3.125
1.25637,3.211
0.783375,1.072
1.27637,3.565
0.812594,1.263
0.815648,1.306
0.850932,0.861
0.841801,0.853
0.844494,0.875
0.832697,0.868
1.35402,3.558
0.858598,0.661
0.876839,0.748
0.867379,0.673
0.769166,1.221
0.762474,1.343
0.739896,1.208
0.736181,1.14
0.840931,0.845
0.846803,0.825
0.848267,0.728
0.758917,1.203
0.855202,0.595
0.785239,1.517
0.790009,1.482
0.799842,1.469
0.778347,1.422
0.805879,1.456
0.824704,1.495
0.841237,0.615
0.787968,1.026
0.775844,1.151
0.824373,0.678
0.781782,1.55
0.825621,1.48
0.791192,1.349
1.41105,3.946
1.39455,3.89
1.40978,3.955
0.798418,1.281
0.792113,1.354
0.813543,1.239
0.811098,1.249
0.895201,1.663
0.80948,1.261
0.799567,1.236
0.877783,1.514
0.881314,1.499
0.807079,1.25
0.787765,1.247
0.86431,1.473
0.803406,1.018
1.31652,3.756
1.3376,3.794
1.3498,3.809
1.27628,3.604
0.779594,1.09
0.844043,1.371
0.826089,1.338
0.769045,1.032
1.26074,3.557
1.27095,3.6
1.33856,3.586
1.23717,3.423
1.25813,3.454
1.25522,3.41
1.36506,3.626
1.36573,3.533
1.31697,3.579
1.3461,3.644
1.37101,3.59
1.36679,3.615
1.33764,3.485
1.37316,3.649
1.34183,3.37
1.33091,3.446
1.44722,3.042
1.41764,3.084
0.748893,1.118
0.776398,1.12
0.763244,1.221
1.26354,3.417
1.27095,3.402
1.32353,3.386
1.2764,3.374
1.23819,3.034
1.25783,3.532
1.30886,3.224
1.29951,3.191
1.26444,3.168
1.21202,3.48
1.3186,3.308
1.34551,3.296
1.31254,3.148
0.950343,2.012
1.2344,3.54
1.32936,3.226
1.26502,3.102
1.29948,3.088
0.719872,0.993
1.4,3.633
1.3748,3.528
1.41181,3.535
1.39731,3.537
1.13383,3.24
1.08187,3.014
1.06841,3.017
0.769774,0.911
1.43947,3.384
1.42406,3.477
1.44621,3.463
1.45543,3.446
1.46882,3.334
1.46579,3.398
0.821779,1.094
0.837599,1.11
0.803665,1.005
0.813452,1.004
0.758724,1.182
0.777025,1.093
0.790982,1.13
1.57278,2.74
1.5131,2.972
1.47353,3.068
0.802658,1.16
1.52696,3.021
1.40083,3.371
1.45464,3.475
1.43758,3.342
1.46888,3.479
1.45074,3.478
1.49076,3.166
0.755473,0.929
0.780441,0.912
0.780963,0.88
0.781554,0.934
0.79105,0.947
0.746894,0.894
1.42895,3.503
1.44468,3.34
0.761543,0.917
1.44361,3.362
1.47374,3.168
1.46593,3.245
1.43773,3.369
1.43502,3.408
0.772711,0.898
0.788089,0.942
0.806283,1.016
0.793874,0.933
0.801827,1.029
0.770791,1.033
1.25355,3.141
1.2446,3.16
1.24257,3.168
1.2542,3.084
1.23954,3.104
1.26338,3.596
1.25837,2.902
1.28596,3.153
1.22941,3.628
1.05057,2.532
1.03915,2.474
1.26714,3.756
0.967112,1.969
0.95158,1.924
1.03281,2.243
1.06174,2.448
1.05416,2.55
1.245,3.774
0.976877,1.966
0.970272,1.938
0.992244,1.953
1.26785,3.859
1.32349,3.828
1.29494,3.933
0.927668,1.859
0.945778,1.819
0.914678,1.844
0.907085,1.771
1.36279,3.47
0.953749,1.75
0.936804,1.783
1.28121,3.187
1.26433,3.266
1.25568,3.173
1.2607,3.006
1.25202,3.32
0.881587,1.723
0.882061,1.673
0.903388,1.742
0.891677,1.705
1.1921,3.19
1.23443,3.337
1.18526,3.217
1.20042,3.258
0.876329,1.751
1.18521,2.995
1.15214,2.924
1.17924,2.954
1.18853,2.943
1.17154,2.965
1.20081,3.264
1.19717,3.264
1.18321,3.479
1.22287,3.612
1.14087,3.027
1.16557,2.638
1.20311,2.803
1.20245,2.801
1.21473,2.856
1.226,3.434
1.23399,3.422
1.26441,3.452
1.22188,3.324
1.32891,3.437
1.14651,3.391
1.17645,3.601
1.22638,3.361
1.23891,3.321
1.22372,3.299
1.22126,3.919
1.16776,3.804
1.21673,3.748
1.22392,3.901
1.10088,2.358
1.23334,3.984
1.22724,3.951
1.24045,3.94
1.22407,3.871
1.12195,2.224
1.10186,2.087
1.09695,2.04
1.2432,3.02
1.07877,1.912
1.04164,1.825
1.05418,1.677
1.01466,1.697
1.03881,1.658
1.00801,1.758
0.981028,1.648
0.990914,1.759
0.689399,1.234
1.05304,1.714
1.02476,1.709
1.08495,1.854
1.06343,1.82
0.68062,1.21
0.684818,1.248
0.688118,1.257
0.686968,1.263
1.17415,3.743
1.37967,2.826
1.36032,2.994
1.35023,3.083
0.707043,1.246
0.706825,1.218
0.692872,1.288
0.690519,1.259
0.684565,1.222
1.19013,3.816
1.02785,2.121
0.998694,1.97
0.993998,2.01
1.2814,3.695
1.31056,3.551
1.28369,3.615
1.29197,3.689
1.26476,3.687
0.87623,2.554
1.24309,3.6
1.28538,3.724
0.716119,1.307
0.986387,2.087
0.997004,2.06
0.984075,1.972
1.00308,2.038
0.96847,1.973
1.0627,1.608
1.21167,3.872
1.21871,3.897
1.16766,3.635
1.08763,1.814
1.00573,2.221
1.15792,3.472
1.10757,1.66
1.10274,1.806
1.13712,1.918
1.17806,2.061
1.16367,2.246
0.95701,2.115
0.962493,2.15
0.967944,2.132
0.950259,2.08
1.11719,3.184
1.07574,3.045
1.03686,2.764
1.31881,3.371
1.37081,3.6
1.29276,3.122
1.06364,3.006
0.962866,2.971
1.09329,3.15
1.08564,3.217
1.183,2.216
1.1359,1.964
0.943223,2.357
0.916055,2.36
0.978783,2.895
0.986372,2.921
0.994125,3.036
1.41353,3.469
0.897611,2.478
0.892557,2.474
0.865804,2.292
0.888438,2.442
0.738641,1.297
0.713667,1.16
0.726386,1.251
0.734657,1.308
1.03159,3.477
1.05167,3.439
1.02546,3.268
1.06528,3.498
1.10908,3.656
1.10657,3.594
1.13738,3.649
1.10751,3.524
1.48495,4.12
1.508,4.224
1.34133,3.379
1.31234,3.277
0.971721,2.172
1.10671,3.597
1.15059,3.817
1.13936,3.703
