Rg,Ree
0.860112,2.05
0.918235,0.644
0.899433,0.807
0.836892,2.021
0.830959,1.96
0.824903,1.787
0.811328,1.964
0.851646,0.606
0.857967,0.577
0.843562,0.676
0.880935,0.628
1.39322,3.251
1.41252,3.179
1.52726,2.67
1.5546,2.329
0.981448,1.104
0.862986,1.427
0.866918,1.272
1.43532,2.795
1.10283,3.285
1.06987,3.172
0.917539,1.659
0.927767,1.553
0.903811,1.42
0.884653,2.272
0.918029,1.818
0.915443,2.24
0.910041,2.088
0.929911,1.493
0.903494,1.378
0.898041,1.999
0.893373,2.089
0.906406,2.116
0.833275,0.592
0.867158,0.666
0.876619,1.982
1.09893,1.962
1.09607,2.148
0.884667,1.892
0.857459,1.969
0.891602,1.618
0.905414,1.711
0.836176,1.815
0.902632,1.987
0.883748,1.796
0.896004,1.795
0.918292,1.83
0.886997,1.624
0.892799,1.465
0.903008,1.908
0.901207,1.725
0.883824,1.528
0.912453,1.685
0.908223,1.69
0.907638,1.74
0.912127,1.705
0.919168,1.877
1.15615,2.594
1.17035,2.72
1.15996,2.503
0.876278,1.648
1.18283,2.8
0.856934,1.695
0.845059,1.505
0.822731,1.114
1.18776,2.942
1.14386,2.749
1.30143,3.499
1.2893,3.508
0.858935,1.149
0.813219,1.051
0.959138,2.11
0.830772,1.025
1.13383,2.847
0.931958,1.768
0.928327,1.744
1.17499,3.123
0.92583,1.411
1.10336,2.772
0.913042,1.737
0.929629,1.745
0.899939,1.649
0.908024,1.894
1.43058,3.524
1.46262,3.414
0.857677,1.137
0.855018,1.286
0.83442,1.379
1.39397,3.894
0.853758,1.602
0.838619,1.4
0.846437,1.334
0.830385,1.156
0.861281,1.146
0.869374,1.141
0.832761,1.102
0.841122,1.192
1.61888,3.567
1.61015,3.555
0.829916,0.975
0.813512,0.971
1.55021,3.374
1.6182,2.619
1.19561,3.202
1.13976,3.436
1.1514,3.509
1.16058,3.49
1.4455,3.498
1.18886,3.514
1.18311,3.597
1.51831,3.699
1.58472,3.656
1.64374,2.559
1.64045,2.67
1.13938,2.917
1.68199,3.259
1.12132,3.068
1.14211,3.174
1.16612,3.271
1.13164,3.03
1.24096,3.049
1.207,3.014
1.72751,3.268
1.17346,2.773
1.65596,3.246
0.996487,1.743
1.04456,1.819
0.85239,0.991
0.853556,0.988
0.831068,1.038
1.69957,3.215
1.19468,3.018
1.64064,3.558
1.56334,3.727
1.50127,3.827
1.49274,3.991
1.2415,2.994
1.20187,3.141
0.866461,2.019
0.884928,1.984
0.893253,1.889
0.858329,0.766
1.29601,3.631
1.27531,3.666
1.26133,3.443
1.26481,3.275
1.2835,3.128
1.36459,3.253
1.55729,3.836
1.51049,3.649
1.34339,3.332
1.56052,3.487
1.30209,3.36
1.30898,3.487
0.790775,2.167
0.791479,2.069
0.770608,2.138
1.50456,3.625
1.49888,3.592
1.50416,3.494
1.04511,2.124
1.05265,1.884
1.53863,3.439
1.48404,3.702
1.5547,3.545
1.28444,3.006
1.01303,1.565
1.44286,2.863
1.44861,2.773
1.44434,2.796
1.38932,2.8
1.3387,2.981
0.995396,1.906
1.03718,2.001
1.22377,3.132
1.28196,3.131
1.29501,3.201
0.938744,1.213
0.941098,1.153
1.3123,2.919
1.04271,2.404
1.09181,2.379
1.0474,2.398
1.11249,1.795
1.06889,2.354
1.10132,2.355
1.10792,2.176
1.07415,2.101
1.05777,2.048
1.09418,2.377
0.904182,2.302
0.973132,2.602
1.02428,2.3
1.04256,2.145
1.0474,2.064
1.03994,3.033
1.0503,3.124
1.09399,3.228
1.11752,3.272
1.08872,3.013
1.4696,2.557
1.38342,2.703
1.09068,3.102
1.07475,3.086
1.09867,2.993
1.10542,2.978
1.08401,2.684
1.64284,3.277
1.60583,3.566
0.785187,1.747
1.21548,3.037
0.749371,1.504
0.753269,1.557
1.35874,3.658
0.772786,1.612
0.745869,1.534
0.75708,1.404
1.33584,3.677
1.27738,3.683
0.961837,1.058
1.60368,3.14
1.64233,3.123
0.919569,1.298
1.65002,3.317
1.64716,3.251
1.32866,2.917
1.27216,3.178
1.61635,2.941
1.64512,3.008
1.65479,2.907
0.97351,1.681
0.935818,1.331
1.61811,2.646
1.61145,2.783
1.31726,3.417
1.56128,3.427
1.29353,3.214
1.58456,4.042
1.61173,4.057
1.60547,3.784
1.02626,3.51
1.02588,2.359
1.03545,3.489
1.03932,3.502
1.22849,3.321
0.957852,3.115
1.26979,3.184
1.25186,3.349
0.927656,3.027
0.922528,2.862
0.900245,2.555
1.65435,3.758
1.02124,3.437
1.03653,3.409
1.00785,2.282
1.02335,3.558
1.05933,3.388
1.03457,3.371
1.0657,3.214
0.925827,2.026
0.926973,2.099
1.03822,3.445
1.02238,3.429
1.10417,2.1
1.12724,2.183
1.0785,3.171
1.06203,3.275
1.08586,2.0
1.06768,2.069
1.06677,2.03
1.06063,1.926
1.08216,1.782
1.02866,1.627
1.09282,1.883
1.449,3.797
1.36096,3.862
1.26368,3.625
1.26209,3.473
1.0318,1.778
1.43313,3.844
1.42177,4.018
0.995843,2.355
1.00264,2.603
1.02398,1.726
1.02334,1.668
1.03909,2.78
1.00818,3.244
0.987207,3.07
1.00101,3.172
1.61036,3.396
1.02886,3.036
1.02223,2.825
0.968814,1.877
0.950292,1.654
0.958219,1.944
0.978917,1.925
0.964429,1.931
1.02426,1.671
0.939102,2.157
0.95334,2.087
1.01389,1.349
1.20951,3.532
0.941711,2.066
0.962228,2.237
0.985067,2.331
0.969106,2.279
0.974401,2.361
0.998493,1.31
0.942249,2.158
1.03218,1.444
0.993689,2.435
1.25202,3.608
1.0446,1.607
1.21821,3.581
1.22796,3.521
1.27085,3.441
1.25236,3.377
1.27115,3.318
1.00061,1.465
1.05347,2.345
1.06932,2.464
1.0401,1.481
0.996935,1.421
1.03044,1.632
1.00796,1.44
1.56509,3.149
1.02379,1.51
1.19718,4.126
1.02743,1.474
1.10896,3.137
1.09984,3.01
0.960616,1.53
1.06293,2.933
1.19541,3.671
1.20084,3.697
1.19425,3.789
1.22115,3.862
1.00615,1.239
1.46865,3.924
0.986546,1.125
1.50122,3.898
0.966907,1.193
0.963913,1.134
1.50204,3.354
1.53725,2.956
1.55827,3.362
1.2416,3.4
1.10124,2.569
1.06518,2.496
1.23752,3.575
1.01868,2.303
1.0355,2.501
1.30239,3.444
1.27174,3.393
1.25902,3.478
1.52041,3.175
1.33266,3.742
1.27966,3.74
1.22726,3.766
1.2497,3.753
1.46792,3.588
1.42773,3.822
1.42659,3.719
1.42665,3.637
1.42565,3.593
1.30607,3.849
1.24169,3.743
1.45109,3.671
