bin_center,f,f_lower,f_upper
61.05,-0.12064829691538392,-0.17913547629958418,0.010635389162739308
61.650000000000006,-0.13063691837202596,-0.18599696221962855,-0.014175015290946556
62.25,-0.08975061696539877,-0.1389835779602638,0.014446111645983983
62.849999999999994,0.0,0.0,0.0
63.45,0.04578934470634666,-0.006077262695539681,0.16002483887949906
64.05,0.10228769983090791,0.03523994756312407,0.2418572570865399
64.65,0.30983999889752445,0.24432102981891043,0.479239093218681
65.25,0.46824066538051357,0.37236365332761573,0.6373191846344698
65.85,0.6744909922886766,0.5855327243396852,0.8918734934143788
66.45,0.9371918895868951,0.841961429984255,1.1750013810489024
67.05,1.0777760054789285,0.9719540140164269,1.3016240006567545
67.65,1.126218572159118,1.0169715017760461,1.3571323662953985
68.25,1.2273816218346618,1.1015237673097933,1.4934052447290258
68.85,1.2836509419222644,1.167521191225125,1.557689882458562
69.45,1.343364116422567,1.222313047860985,1.6361563984144412
70.05,1.3580882687992655,1.2513341090137828,1.6535881575745173
70.65,1.2789712280014656,1.1754908355238298,1.584036164972559
71.25,1.2394470699062392,1.1140595560606112,1.5439820490774603
71.85,1.1635901774777264,1.0468980149851126,1.4873564516388469
72.45,1.2005457083869162,1.091920463139844,1.5276666127602856
