bin_center,f,f_lower,f_upper
61.05,0.31991961587453055,0.1392191110143598,0.750970880850773
61.650000000000006,0.16670715709772455,0.035483020306048114,0.4906449674310069
62.25,0.13749972790621112,0.06465716828020507,0.29762727898288155
62.849999999999994,0.0,0.0,0.0
63.45,-0.09376132165146744,-0.15845626937048857,0.04477046075095284
64.05,0.007005628700690547,-0.06900278240624803,0.18168422758397457
64.65,0.197044103222209,0.1294874962598219,0.3682014112938531
65.25,0.49383861184303957,0.4165186790848818,0.6727016698926512
65.85,0.8626651729051589,0.7823662522144412,1.0620354729645647
66.45,1.1662862312015343,1.0822850090471436,1.386338169596802
67.05,1.417869386361144,1.3377119761766232,1.6569987750649642
67.65,1.5820302640842319,1.481978510408859,1.82440003774573
68.25,1.6418942354092798,1.540987551427215,1.8544435901528262
68.85,1.7002683554177072,1.5950717038871147,1.9288009066120286
69.45,1.7233922672213668,1.6325794660393367,1.9696660510160748
70.05,1.7245150089890227,1.615940837008073,1.9665938998290704
70.65,1.7421080282896044,1.6494804309515056,2.000944458226082
71.25,1.826894666729721,1.7133698567679632,2.084409345570516
71.85,1.7607931966561616,1.6566093794384642,2.026862583310975
72.45,1.8345099648655516,1.7259502893796734,2.1000610206173245
