bin_center,f,f_lower,f_upper
61.05,1.400834483398772,1.231501215384518,1.864330065946027
61.650000000000006,0.8312568858541174,0.7412958197562827,1.131640988154083
62.25,0.2441470345408463,0.19204454106616,0.3709699466824026
62.849999999999994,0.0,0.0,0.0
63.45,0.19724908143688813,0.14906070354994505,0.32326154448004757
64.05,0.3181711253806161,0.2455859016193474,0.4801663039782138
64.65,0.6371476408557004,0.5660775630029692,0.800505521008863
65.25,0.8509963289614766,0.7849193146440474,1.0348806569467082
65.85,1.1849122339721934,1.1026012052725283,1.3811621427567873
66.45,1.4289151376983218,1.330666835153901,1.638944653395354
67.05,1.6060387436907115,1.5155800337945846,1.830586862229125
67.65,1.7618453522159054,1.6530735678506603,1.9850764183700127
68.25,1.7244858589050192,1.6141964591520408,1.9491623436379857
68.85,1.8056753846076878,1.7092862590017806,2.048188373435336
69.45,1.9114004216746365,1.8148356114825208,2.1867215177177126
70.05,1.9621786937070347,1.8675639756821099,2.2159304991838567
70.65,1.8969068702399778,1.7907726031743016,2.1655289053953872
71.25,1.8658332623826728,1.7703068200379115,2.1319567978921565
71.85,1.9576911320213108,1.8575184425843545,2.2144804098735222
72.45,1.995337085220167,1.871954699779858,2.2600917640136657
