bin_center,f,f_lower,f_upper
61.05,1.2529658812246998,1.1892271424336804,1.4571177168454064
61.650000000000006,0.5636037660564122,0.4955829860849005,0.7033787465424143
62.25,0.13832811192525174,0.08382563090971938,0.24991338093602355
62.849999999999994,0.0,0.0,0.0
63.45,0.06292758344356875,0.017647074682352153,0.1703658715648538
64.05,0.28556105070131643,0.2354546310962634,0.40660180491148207
64.65,0.562907275516674,0.5124252069457488,0.7125693451758629
65.25,0.8578193207488103,0.7995281104690967,1.017018786732341
65.85,1.0895863883143684,1.021283661612615,1.256748810690319
66.45,1.3601343022725727,1.290485690052774,1.566822537431623
67.05,1.444341856551652,1.3710334173922942,1.6684903413868404
67.65,1.6478652281049913,1.5311635354868531,1.877190451042257
68.25,1.7030189474508504,1.6119070399242843,1.942164055303174
68.85,1.6022209641036858,1.5285996829752526,1.8395001032350766
69.45,1.4255864937180815,1.3278259113130044,1.6797112889095271
70.05,1.4081114460758362,1.3141272247254598,1.6666298202505738
70.65,1.4059217928002843,1.305495939253681,1.687133556101316
71.25,1.3229590745379998,1.2228153561990371,1.5884829740283684
71.85,1.2025043946157248,1.0976365111637678,1.474800432674786
72.45,1.1540138488008038,1.0406784668765519,1.415700987047485
