bin_center,f,f_lower,f_upper
61.05,0.61973476456938,0.5426669265620805,0.8230559138845699
61.650000000000006,0.360631935777195,0.2923704569417157,0.5255882506234208
62.25,0.04557709406267474,-0.009338898317703884,0.20708402821918329
62.849999999999994,0.0,0.0,0.0
63.45,0.1936527806866719,0.12666548448910994,0.36330390001797885
64.05,0.26569078382065436,0.20019033521362337,0.4171483346446582
64.65,0.4557474567043407,0.39007031624792515,0.6226350903021743
65.25,0.7128252342083568,0.6176686892604513,0.9376998117366564
65.85,0.8077849769511434,0.700167427140877,1.0537853653908886
66.45,0.854862276561593,0.7570620645403762,1.0788034259038546
67.05,0.858014082105877,0.7490219678723485,1.1228753717478088
67.65,0.8298969793646469,0.6931873716379748,1.097969479992548
68.25,0.8222206339993523,0.6697397752462508,1.0952896628890405
68.85,0.7620144895765275,0.6051943345953483,1.0362455777517754
69.45,0.7612805302288317,0.6334780475409709,1.0521996636534927
70.05,0.6840233532349043,0.5632805785135692,1.0063228868554286
70.65,0.6349134693308405,0.522712033659548,0.9608504633836394
71.25,0.49894992450661935,0.3803894358679986,0.8090460425421653
71.85,0.5085401509953091,0.3500849758697252,0.8342903049579102
72.45,0.4250605132221543,0.28429435814538245,0.7689182037103753
